gender,age,id,became_member_on,income
,118,0,20170212,
F,55,1,20170715,112000.0
,118,2,20180712,
F,75,3,20170509,100000.0
,118,4,20170804,
M,68,5,20180426,70000.0
,118,6,20170925,
,118,7,20171002,
M,65,8,20180209,53000.0
,118,9,20161122,
,118,10,20170824,
,118,11,20150919,
M,58,12,20171111,51000.0
F,61,13,20170911,57000.0
M,26,14,20140213,46000.0
F,62,15,20160211,71000.0
M,49,16,20141113,52000.0
,118,17,20170801,
M,57,18,20171231,42000.0
F,61,19,20180501,40000.0
F,40,20,20160504,71000.0
M,64,21,20170909,100000.0
F,78,22,20170616,71000.0
,118,23,20170907,
M,42,24,20130811,69000.0
F,56,25,20180428,88000.0
,118,26,20170330,
F,33,27,20170926,52000.0
F,46,28,20170911,59000.0
M,59,29,20150121,41000.0
M,67,30,20140823,96000.0
O,53,31,20170916,52000.0
M,22,32,20170925,70000.0
F,96,33,20171117,89000.0
M,40,34,20160709,33000.0
F,69,35,20160814,57000.0
,118,36,20160707,
M,56,37,20140511,68000.0
F,26,38,20170812,63000.0
,118,39,20180113,
M,75,40,20151112,40000.0
F,20,41,20160711,30000.0
M,45,42,20180707,33000.0
M,61,43,20171121,98000.0
,118,44,20141111,
,118,45,20170511,
F,69,46,20130918,37000.0
F,54,47,20170207,80000.0
M,39,48,20140527,51000.0
F,41,49,20150921,41000.0
F,79,50,20150415,48000.0
F,66,51,20180408,38000.0
F,56,52,20170626,52000.0
F,39,53,20140723,56000.0
,118,54,20170528,
M,42,55,20160117,96000.0
,118,56,20171013,
,118,57,20151220,
F,78,58,20161009,93000.0
M,45,59,20171006,48000.0
M,29,60,20160430,50000.0
M,44,61,20170924,35000.0
M,63,62,20180713,56000.0
M,36,63,20171228,56000.0
F,76,64,20180314,47000.0
M,68,65,20170823,87000.0
M,75,66,20151129,52000.0
M,67,67,20170226,76000.0
M,77,68,20160730,51000.0
M,76,69,20140831,64000.0
M,57,70,20180207,98000.0
F,53,71,20160706,72000.0
F,53,72,20161231,117000.0
F,53,73,20171026,55000.0
F,61,74,20171110,112000.0
F,67,75,20160910,77000.0
F,58,76,20180125,85000.0
F,46,77,20180629,36000.0
M,30,78,20171202,41000.0
M,59,79,20170820,89000.0
,118,80,20170918,
M,51,81,20151231,41000.0
M,27,82,20180110,35000.0
M,40,83,20180227,53000.0
,118,84,20150920,
F,73,85,20180419,91000.0
F,74,86,20151224,107000.0
M,42,87,20151121,66000.0
M,78,88,20151111,58000.0
F,54,89,20161225,53000.0
F,70,90,20180613,74000.0
F,49,91,20170408,57000.0
F,62,92,20180410,57000.0
M,64,93,20170305,70000.0
F,89,94,20171114,87000.0
M,73,95,20180401,51000.0
,118,96,20160806,
F,50,97,20170506,93000.0
F,90,98,20151210,98000.0
F,68,99,20160731,84000.0
M,60,100,20170206,64000.0
M,45,101,20170815,54000.0
M,66,102,20160124,49000.0
,118,103,20170223,
,118,104,20170823,
F,19,105,20161015,73000.0
F,66,106,20180216,58000.0
F,72,107,20160811,72000.0
,118,108,20160130,
M,76,109,20160407,63000.0
M,52,110,20170515,78000.0
M,55,111,20171210,31000.0
F,39,112,20170919,60000.0
F,45,113,20160126,44000.0
F,57,114,20170704,114000.0
M,74,115,20180712,48000.0
M,18,116,20160727,47000.0
M,53,117,20170927,96000.0
F,59,118,20170910,98000.0
M,57,119,20141104,46000.0
F,51,120,20170813,56000.0
,118,121,20150730,
,118,122,20171125,
F,64,123,20171020,37000.0
M,71,124,20170129,57000.0
F,64,125,20170421,66000.0
M,83,126,20180127,46000.0
M,26,127,20171211,71000.0
,118,128,20160418,
F,29,129,20180321,58000.0
M,43,130,20170915,70000.0
F,89,131,20180114,65000.0
F,49,132,20180518,79000.0
M,79,133,20160627,67000.0
F,55,134,20171016,94000.0
M,55,135,20171203,66000.0
M,45,136,20171007,31000.0
M,52,137,20180130,30000.0
M,39,138,20160404,55000.0
M,77,139,20180702,69000.0
M,66,140,20180709,60000.0
F,69,141,20170927,87000.0
M,74,142,20140820,53000.0
,118,143,20161018,
F,75,144,20180712,87000.0
F,59,145,20150909,85000.0
M,47,146,20131230,66000.0
M,20,147,20180528,69000.0
M,60,148,20170426,108000.0
M,65,149,20180315,61000.0
M,33,150,20150421,43000.0
F,39,151,20171217,67000.0
M,49,152,20180602,59000.0
M,68,153,20180207,58000.0
M,42,154,20170209,80000.0
M,72,155,20180601,33000.0
F,18,156,20170524,49000.0
F,32,157,20180628,42000.0
M,67,158,20170828,50000.0
M,52,159,20180704,42000.0
M,38,160,20171019,64000.0
F,60,161,20180316,77000.0
F,62,162,20171222,77000.0
F,55,163,20180708,51000.0
M,22,164,20180428,63000.0
M,34,165,20171206,41000.0
